无论如何	foce
民生各有所乐兮	cwet
心中常苦悲	ylnl
一舸逐鸱夷	fqdg
而况全德之人乎	sstq
永诀从今始	ootc
因甘野夫食	nsky
便做春江都是泪	eegi
谁能为此谋	ovoo
西崦人家应最乐	djtt
要留青白在人间	dthp
黄夹缬林寒有叶	sgvl
前心安可忘	uyou
桃杏酣酣蜂蝶狂	ffgr
不忧社稷倾	dyue
水如环佩月如襟	kcgp
万物不得不昌	fwdj
俱兼山水乡	eujv
轻衫细马春年少	hpvm
身心转恬泰	wyhg
青衫老更斥	hphe
破浪千帆阵马来	diwf
孔雀东飞何处栖	vmaf
定非知诗人	olqt
太白与我语	geso
问人于他邦	ptfd
端午被恩荣	iqps
随旗簇晚沙	coqi
安得南征驰捷报	orda
愿随夫子天坛上	scgk
会须一洗黄茅瘴	ttfp
出处亦待时	xepj
变化有鲲鹏	pesw
骨气乃有老松格	mqvf
天下良辰美景	faoj
唤取归来同住	laue
青罗裙带展新蒲	hmps
春日醉起言志	gjgh
犹天之不可阶而升也	rfpc
幸与松筠相近栽	hsfd
令渠述作与同游	tifi
迢迢见明星	bbkj
先报春来早	wagj
红线织成可殿铺	vvvt
然文不可以学而能	wpdv
宫中美人一破颜	olui
君入楚山里	xrfk
将赴宣州留题扬州禅智寺	udoh
南北五千里	dufk
千载仰雄名	wder
驾着一叶孤舟	xufq
不哭亦足矣	dlpv
沉淀着彩虹似的梦	iiuf
玉帐分弓射虏营	gmts
炙脆子鹅鲜	wwvq
独夜三更月	rofw
予口张而不能	clvv
洗妆不褪唇红	iudv
杀尽西村鸡	wbdb
要近丛篁听雨声	deth
则与斗卮酒	kssi
自古多艰辛	tdro
一饱尚如此	frnn
而君为贵戚	sxod
恰似十五女儿腰	yedw
我今六十五	qtof
竹斋烧药灶	qpuu
官船来往乱如麻	oqfp
岂效穷途之哭	jopl
虎有爪兮牛有角	msey
盘餐市远无兼味	qmol
为湿最高花	oijs
无动而不变	fssp
只是别形躯	ljlw
戏咏猩猩毛笔二首	blru
犹作江南未归客	reio
何苦将两耳	esua
野花啼鸟亦欣然	kslw
千株万片绕林垂	wffe
赋诗必此诗	koyo
家泉石眼两三茎	oeds
青柳槛前梢	hfff
鸟没夕阳天	yirf
惆怅中何寄	yylo
馁在其中矣	rsdv
即今耆旧无新语	xtho
枝弱不胜雪	fvdd
不是闻思所及	djpv
户服艾以盈要兮	iwst
须臾却入海门去	trhh
柴门不正逐江开	npdf
赤髯碧眼老鲜卑	hhgw
故君子居必择乡	dxvv
旦日不可不蚤自来谢项王	jjdg
就重华而陈词	oqeo
去者日以疏	hhjv
春桥杨柳应齐叶	gffl
雨势来不已	dafb
项王军在鸿门下	fgya
风雨正苍苍	qdfs
古戍依重险	ddec
琼枝曲不折	gfka
此生已觉都无事	nwba
试问池台主	opio
夜酌满容花色暖	ogij
山鸡照影空自爱	jbje
开筵近鸟巢	fqev
及有谁知更辛苦	vsos
请讲以所闻	ooxp
夫抚剑疾视曰	gatj
为臣良独难	osob
未有不嗜杀人者也	hsdc
执敲扑而鞭笞天下	aoaa
人妖颠倒是非淆	tcdi
水陆罗八珍	kcmg
千金骏马换小妾	wwxi
孔子成春秋	vvdr
当年双桧是双童	mqbi
点点无声落瓦沟	mmfi
白日无光哭声苦	ejfs
莫不有文武之道焉	sdsf
勋业安能保不磨	lnop
为木当作松	ofmf
如不善而莫之违也	cduc
少年学剑术	mqif
我被人驱向鸭群	qptx
同嗟除夜在江南	klcd
何不号于国中曰	edlj
心与虚空俱	ysme
病后能吟否	pevd
秋来倍忆武昌鱼	rfeq
宁许负秦曲	ooyk
他生当作此山僧	ewme
曷足以美七尺之躯哉	jnxd
俯足以畜妻子	enxv
与尔同死生	sykw
谁知恩爱重	oqnq
免使牵人虚魂乱	yegr
天寒岁在龙蛇间	fojp
茱萸自有芳	ssts
夜景湛虚明	ojij
此亦飞之至也	npvc
我昔少年日	qsmj
芳菲菲其弥章	sssi
百姓闻王车马之音	dcpi
非徒无生也	lrfc
我醉拍手狂歌	qgaa
旗脚倚风时弄影	owej
沛公不先破关中	itdl
秋风袅袅动高旌	rqyo
而非道德之正也	sluc
松寒不改容	fodp
赐钱二百万	ktsf
根株非劲挺	ffla
黄莺不语东风起	ssdd
鸡鸣入机织	blrv
虹收青嶂雨	kxhd
此势之有也	napc
明月皎夜光	jwem
明君制民之产	jxwi
而已反其真	sbed
得我色敷腴	rqyw
万株松树青山上	fffk
山空松子落	jpfs
策杖归去来	qfuf
安敢尚盘桓	ovnf
欲语羞雷同	touk
明此以北面	jnxg
香炉峰雪拨帘看	rujt
余处幽篁兮终不见天	tejf
漉豉以为汁	ifxi
思君如百草	jxcs
争奈乍圆还缺	ygqw
忧来思君不敢忘	yfju
风流澹作妆	qiiu
人少庭宇旷	tmuj
心亦不能为之哀	ypdo
不寐百忧生	dodw
寒食宫人步打球	oyog
何处营巢夏将半	eesu
赵王窃闻秦王善为秦声	dgph
城郭人民半已非	hotl
世人共卤莽	htss
万户侯何足道哉	fied
潮来不见汉时槎	ifdf
在目皓已洁	smei
世缘终浅道根深	hvvi
问以经济策	pxvq
夏礼吾能言之	dufp
披帷西向立	amdi
正是维摩境界	fjvj
邀我登云台	eqbv
路上人困蹇驴嘶	nktl
暮雨向三峡	sdrj
语之而不惰者	opsh
更绕衰丛一匝看	fvot
何必怀此都	eyyh
直须看尽洛阳花	dtts
毡幄掷卢忘夜睡	rmam
人老簪花不自羞	thqu
古之贤人也	dpnc
梦之中又占其梦焉	fplf
回看桃李都无色	ntfy
而马之死者已过半矣	sxpv
尽日灵风不满旗	bjxo
篱落似江村	qsef
都城已得长蛇尾	hhbb
今之矜也忿戾	tpci
饱吃惠州饭	rlgr
陌头杨柳黄金色	csfy
还赋谪仙诗	dkoo
须臾扫尽数千张	trav
其闻道也固先乎吾	dpuf
夜闻三人笑语言	opfu
定是米家书画船	ojpq
春梭抛掷鸣高楼	gfaf
荪桡兮兰旌	sfto
睡觉东窗日已红	miav
公果溺死流海湄	tjii
飞腾暮景斜	vwst
国之所以废兴存亡者亦然	npiw
晚景卧钟边	jjsx
宋不足征也	odnc
妙算毫厘得天契	cqod
水去云回恨不胜	khsw
若信庄周尚非我	seuq
请奉盆缶秦王	ogtg
洋洋洒洒深邃博大地	iiih
孤客自悲凉	vots
罗衣尚斗鸡	monb
布衾冷似铁	stst
然不自意能先入关破秦	wdtg
亦足慰平生	pnbw
内热溲膏是也	kaic
送祁录事归合州	uuxi
行藏终欲付何人	rsvt
绿浪东西南北水	viak
以杖叩其胫	xflw
蟹六跪而二螯	yonh
贫居往往无烟火	tbru
唯予不服食	lcdy
客怀依旧不能平	oyeh
银床淅沥青梧老	tuih
胜里金花巧耐寒	wkwo
临流别友生	nilw
博弈好饮酒	dpci
乘船往石头	rqrs
刍荛者往焉	yshf
衰年关鬲冷	oqus
尊罍溢九酝	ujig
不念携手好	dtac
一笛闻吹出塞愁	fqpr
客病留因药	opts
仄平平仄平	shhh
其后秦伐赵	degd
衣带日已缓	osjv
石泉饭香粳	derp
此吾祖太常公宣德间执此以朝	nfud
世溷浊而嫉贤兮	hiit
两心之外无人知	fypq
姑苏台上乌栖时	csvj
春去不容惜	ghdy
故山知好在	djqs
乔木上参天	efkf
然则朝四而暮三	wkdf
风吹花片片	qlst
而今才道当时错	stat
青苔满阶砌	hsid
君子死知己	xvdb
泛舟南北两湖头	iqds
章台从掩映	ivtj
终苟免而不怀仁	vsye
似火不烧人	eudt
金镀眼睛银帖齿	wtmn
万木皆怒号	ffrl
新诗改罢自长吟	iobl
使乐乘代廉颇	etrv
若到越溪逢越女	shdc
建芳馨兮庑门	xshp
玉关寄长安李主簿	guoq
夫残朴以为器	gdfl
光禄池台开锦绣	muiv
莫嫌荦确坡头路	scsn
郭外是黄河	orji
邮亭寄人世	kooh
汴水扬波澜	ikai
潮满冶城渚	iisi
种种在其中	rrsl
沉魄浮魂不可招	ieia
吾愿君去国捐俗	fsxe
庄子持竿不顾	uvas
知误会前翻书语	qoto
故足以动人	dnxt
赠黄山胡公求白鹇	ksjp
不如扫地法	dcai
素衣莫起风尘叹	hosl
但使残年饱吃饭	eedr
顿顿食黄鱼	aayq
间道归应速	puuf
岂知还复有今年	jqdq
孤莺啼永昼	vslb
夫天无不覆	gffd
心阵未成星满池	ychi
玉盘杨梅为君设	gqfo
悠悠伏枕左书空	eeep
也从江槛落风湍	ctii
野色浩无主	kyio
此其大略也	ndgc
看画曾饥渴	tfui
主人不相识	otdo
今子赏罚而民且不仁	tvne
兔隐豆苗肥	ycfw
右军本清真	syfd
顾谓从者曰	sotj
故圣人之用兵也	dbtc
忧世心力弱	yhyv
别户穿虚明	lipj
已怜根损斩新栽	byfd
乔木峥嵘明月中	efjl
并吞八荒之心	ufty
细雨湿高城	vdih
算只君与长江	qlxi
日暮待情人	jsrt
虚步蹑太清	mnni
秋兰兮青青	ruth
南行拂楚王	drag
肌肤冰雪莹	wwss
吾不忍其觳觫	fdby
寂寞柴门人不到	oonh
夜寒雪连天	oodf
百里奚举于市	dkeo
月下独酌四首	waru
大业年中炀天子	gnqv
音响一何悲	ilfl
闻琴泪尽欲如何	pgie
歌罢仰天叹	amel
百战疲劳壮士哀	dmpo
忽吾行此流沙兮	wfrt
一叫一回肠一断	flfp
何能待来兹	evru
仰手接飞猱	etar
宿桐庐江寄广陵旧游	ofui
厥状怪且丑	suyb
浅处无妨有卧龙	iefd
谁向高楼横玉笛	oroq
哭友白云长	lset
望之不似人君	updx
凌轹白猿公	shet
一鸟不鸣山更幽	fydj
他年夜雨独伤神	eqou
下邽田地平如掌	ahjn
括不可使将	adau
秋色有佳兴	rysi
每人而悦之	qtsp
微幽兰之芳蔼兮	rjut
折麻心莫展	apyb
多于市人之言语	rfoo
南山田中行	djjr
绿波浸叶满浓光	viim
琐细如插秧	gvcr
饿虎不食子	rmdv
生理只凭黄阁老	wglh
南登杜陵上	dbfk
语之所贵者	opih
杀人如剪草	wtcs
猿鸣诚知曙	rloj
不独明朝为子推	drja
落梅愁绝醉中听	sfrl
阳台碧峭十二峰	cvgj
柳影欲秋天	fjtf
来访真人居	fodb
草草杯盘供笑语	ssfo
担囊行取薪	adrs
捐弹而反走	avsd
灼灼芙蓉姿	uuss
二十年来谙世路	sdqn
烟花不堪剪	usdu
中有孤鸳鸯	lsvk
鸠眠高柳日方融	ymof
敬遣代表林祖涵	slei
铜驼夜来哭	txol
未饮心先醉	hryg
有策不敢犯龙鳞	sqdq
瞻前而顾后兮	must
愿为西南风	sodq
项王默然不应	fgnu
自从盛酒长儿孙	ttdv
采薜荔兮水中	essl
必正席先尝之	yfup
天涯水气中	fikl
生者日已亲	whji
水阁虚凉玉簟空	kpmp
穆王得八骏	rgrx
奈何君独抱奇材	gexf
或百步而后止	gdnn
他时须虑石能言	ejtu
老翁逾墙走	httd
临水愧游鱼	nkyq
斑竹一支千滴泪	gqfi
三伏似清秋	feer
深注唇儿浅画眉	iisb
二十有八载	sdsd
一场寂寞凭谁诉	fhoo
为我开天关	oqfu
诵明月之诗	ojwo
以瓦注者巧	xaif
春风吹浪正淘沙	gqli
一声吹断横笛	fhlq
戴花红石竹	dsvq
君子之德风也	xvpc
众莫知兮余所为	tsqo
凉风绕曲房	sqvi
但见书画传	ekve
王孙宴其下	gvoa
小子鸣鼓而攻之可也	mvlc
笑啼俱不敢	qlev
东方须臾高知之	aotp
朝夕致三牲	drhw
花上露犹泫	skdi
荃者所以在鱼	shiq
刘驸马水亭避暑	pxxj
一叶轻舟寄渺茫	flhs
且夫我尝闻少仲尼之闻而轻伯夷之义者	mgqh
项羽大怒曰	fxgj
荣名以为宝	srxo
贱妾留空房	kiti
香山楼北畅师房	rjfi
犹似汉江清	reii
严陵台下桐江水	acvk
遥知紫翠间	eqnp
一番过雨来幽径	fqar
嗟来桑户乎	lfbq
题八功德水	jtfk
若有人知春去处	sste
家家自谓抱荆山之玉	ootg
使契为司徒	edor
凝碧池头奏管弦	sgiv
文楸方罫花参差	pfou
桃花四面发	fsnx
唯柳色夹道	lfyu
径草踏还生	rsnw
旧家燕子傍谁飞	nosv
夜雪巩梅春	odfg
对君白玉壶	bxeh
使离朱索之而不得	epwr
便觉此身如在蜀	einm
桃李虽不言	fflu
予恶乎知说生之非惑邪	caqh
自非亭午夜分	tlot
君王虽爱蛾眉好	xglc
真人之息以踵	dtpn
止可以一宿而不可久处	naxe
饿于首阳之下	rfua
扶桑已成薪	abbs
民富而府库实	coso
其惟圣人乎	dybq
初似饮醇醪	perg
暗觉海风度	jiiu
指如削葱根	acmf
情因老更慈	ynhu
六月十七日昼寝	owdo
连翩击鞠壤	hiah
施佛空留丈六身	oepw
帅云霓而来御	usdr
寄新茶与南禅师	oisu
明珠交玉体	jgoe
何故水边双白鹭	edkn
油油的在水底招摇	iiea
此生自笑功名晚	nwtj
何处寄相思	eeoj
佣作致甘肥	eehw
甘露舌头浆	sdru
相对遥相望	fbeu
凤凰山下雨初晴	qqjj
无由持一碗	fkad
结客少年场行	vomr
人在舟中便是仙	tsqe
曲阑深处重相见	kpik
人能虚己以游世	tvmh
援琴鸣弦发清商	aglo
亚父受玉斗	ates
菰白媚秋菜	secs
贤圣既已饮	nbxr
秘密事之载心兮	roat
春日暄甚戏作	gjje
索琼茅以筳篿兮	dgst
相和而歌曰	frsj
有席卷天下	suua
使子路问津焉	evnf
横而不流兮	fsdt
荷叶生时春恨生	slww
移舟木兰棹	rqff
昔看黄菊与君别	stsl
我生无田食破砚	qwfd
魂一夕而九逝	sfra
歌声唱彻月儿圆	ahln
聊翱游兮周章	aeii
楼识凤凰名	foqr
千里共明月	wksw
多情明月邀君共	ryjs
崔嵬飞迅湍	jjvi
所以持死节	ixas
是相与为春秋冬夏四时行也	jfsc
与民同乐也	sckc
不能喻之于怀	dvly
翻翻菱荇满回塘	qqsh
仲尼蹴然曰	ebnj
一去无踪迹	fhfp
名利不将心挂	rrda
广裁衫袖长制裙	udpp
舜流共工于幽州	eisi
当今天子急贤良	mtfo
晋陶渊明独爱菊	acis
一杯苦劝护寒归	ffsu
而多方于聪明之用也	sroc
项王则受璧	fgkb
川迥洞庭开	qkif
王母桃花小不香	gbfr
云归而岩穴暝	susj
则负匮揭箧担囊而趋	kygd
正是去年时节	fjhs
唯有邑人知	lslq
杜陵有布衣	fcso
初闻征雁已无蝉	pprk
鲤退而学诗	qvso
拂窗新柳色	apiy
孝子不谀其亲	hvdi
长溪流水碧潺潺	tiii
春暖撤夜衾	gjat
学至乎没而后止也	ihqc
灭迹栖绝𪩘	fpfj
风花飞有态	qsvg
再拜献大王足下	gtda
却羡井中蛙	husk
天上分金镜	fktt
云龙山下试春衣	sdjo
花气袭人知骤暖	sqdj
是何异于刺人而杀之	jecp
露白月微明	dewj
纪叟黄泉里	vrsk
好事者为之也	cahc
依稀犹记妙高台	errv
不应墩姓尚随公	duht
我李百万叶	qfdl
天意君须会	fixt
法削则国弱	imkv
欲从灵氛之吉占兮	ttxt
莫愁留滞太史公	srtt
谁挥鞭策驱四运	oags
正见盛时犹怅望	fkdu
不信君看弈棋者	dexh
天涯海角信音稀	fiir
检书烧烛短	fvuq
海内人才孰卧龙	iktd
寻一首好诗	xfuo
珍宝尽有之	gobp
君子创业垂统	xvtv
非死者难也	ldhc
遮莫姻亲连帝城	usch
望断高唐路	upon
舟楫控吴人	qfat
今日暮途穷	tjsp
此有蜡梅禅老家	nsko
无成涕作霖	fdid
粉红石首仍无骨	pvdm
西子下姑苏	dvas
虽一龙发机	lfdf
春明门外即天涯	gjpi
食罢一觉睡	ymfm
禹思天下有溺者	qjfh
迢迢岁夜长	bbjt
是处玳筵罗列	jegd
逝将归去诛蓬蒿	auus
照地初开锦绣段	jhpe
王巾笥而藏之庙堂之上	gmqk
舜之为臣也	epoc
因缟素而哭之	nvhp
如智者若禹之行水也	cqhc
其故家遗俗	ddoe
庭树巢鹦鹉	ufvf
与子路之妻	svnd
越山长青水长白	djte
千年一清圣人在	wqfs
白下驿饯唐少府	eaxu
近乎卜祝之间	eqmp
偷声木兰花	ehfs
把盏凄然北望	afsu
雉兔者往焉	qyhf
回观村闾间	nbfp
儿童相唤踏春阳	qifc
则臣视君如寇雠	ksuw
空林独与白云期	pfrd
借问新安吏	epif
吴溪紫蟹肥	linw
于予与改是	fcsj
朅来已永久	hfby
与君细细输	sxvh
女婵媛兮为余太息	ccct
白发烦多酒	exui
一枚不换百金颁	ffdt
不及卢家有莫愁	dvmr
放一轮明月	ofhw
今年花落颜色改	tqsb
不以舜之所以事尧事君	dxex
赖有春风嫌寂寞	fsgo
且秦强而赵弱	mgvv
哀乐不易施乎前	otdu
故燕王欲结于君	dsgx
集中惟觉祭文多	wlyr
丹枫似火照秋山	wfej
何殊当路权相持	edma
细葛含风软	vsth
北风何惨栗	uqed
君安得有此富乎	xorq
闭门锄菜伴园丁	ppta
雨晴至江渡	djhi
飘似鹤翻空	deyp
月俸百千官二品	wedl
何时悔复及	ejyv
弦凝指咽声停处	vsae
恐子就沦灭	fvof
故饭牛而牛肥	drww
时命或大缪	jygv
吉日兮辰良	hjto
君子于其所不知	xvfq
小儿纵观黄犬怒	mqvc
清溪却向青滩泄	iihi
铃阁无声公吏归	tpfu
望灵荐杯酒	uxsi
美人踏上歌舞来	utnf
悼良会之永绝兮	yott
寒衣处处催刀尺	ooeb
得兔而忘蹄	rysn
不罚而民畏	dmsj
而通之于台桑	sbpb
而不自知也	sdtc
纤歌凝而白云遏	vasj
上与浮云齐	ksip
圣人之过也	btpc
金陵风景好	wcqc
寒樱枝白是狂花	offs
但道吾庐心便足	eufn
旅次湘沅有怀灵均	osih
登巫山最高峰	bfjj
卯时十分空腹杯	tjdf
茅檐烟里语双双	sfub
独自下寒烟	rtau
子使漆雕开仕	veie
粳稻纷纷载酒船	prvq
菊花须插满头归	sstu
金蝉玉柄俱持颐	wkgg
未有封侯之赏	hshn
老人七十仍沽酒	htai
嵩高苍翠北邙红	josv
云开衡岳积阴止	sfrn
涓涓泣露紫含笑	iiiq
夔州处女发半华	uiee
飘逸的宇宙观	dyeb
路幽昧以险隘	njjc
鼓下坐蛮奴	hatc
潇洒到江心	iihy
耆旧何人在	hnes
鹊声穿树喜新晴	shpj
真积力久则入	drxr
二愿妾身常健	ssie
不觉年齿暮	diqs
洞房记得初相遇	iiok
千年长交颈	wqtb
恁时相见早留心	ejfy
石坚激清响	dnil
是其才之美者也	jdac
故国平居有所思	dnhj
秋风肃肃晨风飔	rqxq
雷填填兮雨冥冥	dhhy
秋天殊未晓	rfdj
颠坑仆谷相枕藉	dhes
少年负壮气	mqyq
嗟彼本何事	lrfa
遥对岷山阳	ebjc
老妇出门看	hcxt
惊霜落素丝	ydsv
朔雪自龙沙	udti
盈筐承露薤	vqvs
利泽施乎万世	rioh
不足以自全	dnxt
南城夜半千沤发	dhox
牙琴从此绝	hgtv
夫为天下者	gofh
我早生华发	qjwx
颜渊喟然叹曰	iilj
照见人如画	jktf
旷然见三巴	jwkc
竹西花草弄春柔	qdsc
亦各言其子也	peuc
自入秋来风景好	trrc
寂历斜阳照县鼓	osth
缕橙芼姜葱	vfss
而六马仰秣	soxr
珊瑚间木难	ggpb
纵然一夜风吹去	vwfh
而绝秦赵之欢	svgb
宇县复小康	omqu
狐假龙神食豚尽	redb
此生天命更何疑	nwfr
送太昱禅师	ugju
细思却是最宜霜	vjhd
饭煮青泥坊底芹	rhhs
君子不可小知	xvdq
多于机上之工女	rffc
古之存身者	dpsh
不当时命而大穷乎天下	dmja
郁郁何所为	sseo
千里万里春草色	wkfy
散诞人间乐	sott
羊腔酒担争迎妇	uwic
风波浩难止	qiin
吾唯不知务而轻用吾身	fldw
疑是白波涨东海	rjei
于是焉河伯欣然自喜	fjfh
游子日月长	ivjt
尧舜禹汤文武周孔皆为灰	aeqs
日暮行人争渡急	jsry
落日忆山中	sjyl
征帆去棹残阳里	rmhk
虽投定远笔	laoq
日出而林霏开	jxsf
夫藏舟于壑	gsqm
飞雨动华屋	vdsb
点酒下盐豉	miaf
昨夜东风入武阳	joac
飘零君不知	ddxq
须臾鹤发乱如丝	tryv
浴兰汤兮沐芳	iuis
万事称好司马公	fart
香汗薄衫凉	riss
眉间翠钿深	bpxi
坐看水色移	ttkr
此时立在最高山	njij
终岁得晏然	vjrw
非藏其知而不发也	lsdc
斜日一双双	tjfb
红颗珍珠诚可爱	vjge
颗颗真珠雨	jjdd
意气相倾山可移	iqfr
闻余大言皆冷笑	ptgq
南阳刘子骥	dcpx
一朝去京国	fdhn
隐隐笙歌处处随	ccqc
人籁则比竹是已	tqkb
不以知穷天下	dxqa
当陵阳之焉至兮	mcct
闻弦歌之声	pvah
系在红罗襦	qsvp
水乡霾白屋	kvdb
月出孤舟寒	wxvo
巴陵一望洞庭秋	ccfr
江火似流萤	iues
俯视洛阳川	euiq
多于九土之城郭	rfyo
轮欹影促犹频望	hgju
谷幽光未显	tjmj
对公银印最相鲜	bttq
若无知足心	sfqy
投迹归此地	apuh
蕃草席铺枫叶岸	ssuj
峰骈仙掌出	jxex
吾辞受趣舍	fret
从尔何所之	tyep
大笑向文士	gqrh
万古到今同此恨	fdhy
隔花啼鸟唤行人	cslt
芳菲菲兮袭予	sssc
欲寻阿练若	txcs
今日云輧渡鹊桥	tjsf
生理半人禽	wgut
皇览揆余于初度兮	enat
天凉景物清	fsji
君子道者三	xvuf
花不知人瘦	sdqp
池水观为政	ikbf
物孰不资焉	wodf
人自伤心水自流	ttei
王顾谓其友颜不疑曰	gsoj
世人甚爱牡丹	htdw
新贴绣罗襦	ikvp
烂若金照碧	uswg
茅屋沧洲一酒旗	sbio
花房小如许	simo
又何怀乎故都	beyh
倦客愁闻归路遥	eore
日见孤峰水上浮	jkvi
我来扬都市	qfao
不可以语上也	daxc
有是四端而自谓不能者	sjnh
天下不能荡也	fadc
金与火交争	wsuy
飘飘乎如遗世独立	ddqi
庶往共饥渴	ursi
溪头烟树翠相围	isun
对敌慈悲对友刁	bruv
我未之见也	qhpc
滔滔孟夏兮	iivt
朝成绣夹裙	ddvp
纵观云委江之湄	vbsi
万谷酣笙钟	ftgt
叹息此人去	ltnh
不觉泪下沾衣裳	diin
惠泉山下土如濡	geji
白首相逢征战后	eufe
古县棠梨也作花	dmns
五花散作云满身	fssw
宫衣亦有名	oopr
鸟次兮屋上	ystk
合异以为同	ycxk
不待致书求	drhf
我有一瓢酒	qsfi
团作愚下人	nekt
水似青天照眼明	kehj
是臣尽节于陛下之日长	jsbt
兔从狗窦入	ytrr
特异阳台云	wccs
从来系日乏长绳	tfqv
春兰如美人	guct
昨夜巫山下	jofa
小绿间长红	mvpv
感极而悲者矣	dfsv
则深根宁极而待	kifr
长路漫浩浩	tnii
湖清霜镜晓	iidj
已是十年踪迹十年心	bjdy
仙衣尽带风	eobq
此存身之道也	nswc
老去有谁怜	hhsy
惟有乳下孙	ysev
深闭朱门伴细腰	ipww
洞庭霜落微	iudr
反乎尔者也	eqyc
摧甓蔓寒葩	abss
国之利器不可以示人	nprt
忘身于外者	uwfh
五日思归沐	fjji
河水浸城墙	ikih
好将沈醉酬佳节	cuis
红颜成白发	vidx
来当婀娜时	fmcj
蝶绕绣衣花	kvvs
顿觉夜寒无	aiof
何处唤春愁	eelr
早落先梧桐	jswf
啜过始知真味永	laco
山昏塞日斜	jtot
恐结他生里	fvek
艅艎何泛泛	qqei
日夜向沧洲	jori
吏民惊怪坐何事	fcya
市南宜僚见鲁侯	odoe
冻吟成此章	sldi
赢得儿童语音好	urqc
寿无金石固	dfwn
焉得幷州快剪刀	frqb
鸭头春水浓如染	ksgi
但觉衣裳湿	eioi
天地一指也	fhfc
望中疑在野	ulrk
一射两虎穿	fwfp
一悟得所遣	fyrl
剑门天下壮	tpfu
建功及春荣	xfvs
子路第十三	vnqf
湛湛江水兮	iiit
永弃人间事	oota
凭不厌乎求索	edsd
风骨超常伦	qmde
轲峨大艑落帆来	hjgf
百尺朱楼闲倚遍	dbwi
一路凉风十八里	fnsk
梦泽悲风动白茅	fils
登乎狙之山	bqrj
蹄者所以在兔	nhiy
六诏星居初琐碎	oojd
邺侯藏书手不触	nesy
小子鸣鼓而攻之	mvlp
卷送八尺含风漪	uuti
不为穷约趋俗	dope
纵观万人同	vbfk
秋光近青岑	rmej
朋友之道也	wspc
复道浊如贤	quin
及年岁之未晏兮	vqjt
凝光悠悠寒露坠	smec
终期抛印绶	vdav
归来宴平乐	ufot
管夷吾举于士	qgfh
问女何所忆	pcey
非梧桐不止	lffn
愁鬓明朝又一年	rhjq
我名公字偶相同	qrtk
西风袅袅秋	dqyr
飒飒如有人	iict
独占芳菲当夏景	rmsj
致君丹槛折	hxwa
焚文书而酷刑法	fpvi
承天寺夜游	vfhi
四海遂为家	niuo
烟景弥淡泊	ujvi
敢辞湫隘与嚣尘	vrim
玉辇何由过马嵬	ggej
随香遍满东南	crid
江远欲浮天	iftf
日长睡起无情思	jtmj
唯待吹嘘送上天	lrlf
人生无根蒂	twfs
不觉动颜色	disy
意之所随者	ipih
闭门不敢出	ppdx
其间无古今	dpft
世俗安得知	heoq
老骥思千里	hxjk
斯亦伐根以求木茂	dpes
峨眉翠扫雨余天	jbxf
白发死章句	exdw
中秋谁与共孤光	lrom
藏书万卷可教子	svfv
春风无限潇湘意	gqfi
江村月落正堪眠	ifwm
青云路上未相逢	hsne
昭昭天宇阔	jjfp
以德行仁者王	xrrg
鸳鸯独宿何曾惯	rkry
人间总比天堂好	tpuc
吹花送远香	lsur
君家自有元和脚	xotw
是乃仁术也	jvec
风烟含越鸟	quty
正初奉酬歙州刺史邢群	fpgx
马乳带轻霜	xesd
且看乘空行万里	mtrk
我见常再拜	qknt
天地荷成功	fhsf
将往观乎四荒	urbs
每览昔人兴感之由	qnsk
千秋万岁后	wrfe
聆我慷慨言	aqyu
今君乃亡赵走燕	txvs
死生契阔君休问	dwdp
含笑看吴钩	tqtt
搴芙蓉兮木末	ossh
答熊本推官金陵寄酒	qvfi
事夫誓拟同生死	agad
君王与沛公饮	xgsr
夜下征虏亭	oaro
窃为陛下不	pocd
天工点酥作梅花	ffms
岂堪开处已缤翻	jhfq
点注桃花舒小红	mifv
狡捷过猴猿	raar
临眺独踌躇	nmrn
敢以耳目烦神工	vxaf
人间鱼蟹不论钱	tpqt
绛纱囊里水晶丸	vvdy
巧未能胜拙	fhva
为我起蛰鞭鱼龙	oqdd
清风动窗竹	iqsq
苟余情其信姱以练要兮	styt
白发自然生	extw
策扶老以流憩	qahr
应写黄庭换白鹅	uysq
穷不知所示	pdqh
是以圣人处无为之事	jxba
恨不移封向酒泉	ydre
云间烟火是人家	spuo
望云惭高鸟	usyy
东风二月天	aqsf
然后驱而之善	wexu
手提新画青松障	taic
几死者数矣	qdhv
孰能为之大	ovog
犹能簸却沧溟水	rvqk
空留可怜与谁同	ptak
将以遗兮下女	uxlc
洒酒气填膺	iiqu
预恐明朝雨坏墙	cfjh
两涧春淙一灵鹫	figo
赵惠文王时	dgpj
为客裁缝君自见	oodk
窗户湿青红	piiv
俱怀鸿鹄志	eyih
以黄金注者	xswh
一朵佳人玉钗上	fqek
天下大悦而将归己	fagb
一炷烟中得意	fuui
还期那可寻	ddvx
又尚论古之人	bnot
左相日兴费万钱	sfjt
是役人之役	jrtr
足以保四海	nxei
黄花不负秋	ssdr
酒客十数公	iodt
胡笳只解催人老	dqlh
能变人间世	vpth
自明无月夜	tjfo
纱巾草履竹疏衣	vmso
吾何慊乎哉	feyd
且有大觉而后知此其大梦也	msgc
摩诃池上追游路	poin
背郭堂成荫白茅	uons
淫僻于仁义之行	iefr
一卷冰雪文	fusp
青眼望中穿	hmup
飞鸣声念群	vlhx
广运无不至	usfh
一年强半在城中	fqvl
