㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
抱	抱 抱󠄂 抱󠄃
拌	拌 拌󠄂 拌󠄃
拐	拐 拐󠄂 拐󠄃 拐󠄄
拒	拒 拒󠄂 拒󠄃
拳	拳 拳󠄂 拳󠄃
拴	拴 拴󠄁 拴󠄂
拷	拷 拷󠄂 拷󠄃
拼	拼 拼󠄁 拼󠄂
挈	挈 挈󠄁 挈󠄂 挈󠄃 挈󠄄
挧	挧 挧󠄁 挧󠄂
挺	挺 挺󠄂 挺󠄃
挼	挼 挼󠄁 挼󠄂
挽	挽 挽󠄂 挽󠄃
捄	捄 捄󠄁 捄󠄂
捋	捋 捋󠄁 捋󠄂
捍	捍 捍󠄁 捍󠄂
捐	捐 捐󠄁 捐󠄂
捓	捓 捓󠄁 捓󠄂
捔	捔 捔󠄁 捔󠄂
捗	捗 捗󠄂 捗󠄃
捨	捨 捨󠄂 捨󠄃
捩	捩 捩󠄂 捩󠄃
据	据 据󠄂 据󠄃
捲	捲 捲󠄂 捲󠄃
掃	掃 掃󠄂 掃󠄃
排	排 排󠄂 排󠄃
掕	掕 掕󠄁 掕󠄂
採	採 採󠄂 採󠄃
控	控 控󠄂 控󠄃
掩	掩 掩󠄁 掩󠄂
掾	掾 掾󠄁 掾󠄂 掾󠄃
揃	揃 揃󠄂 揃󠄃
揄	揄 揄󠄁 揄󠄂
揅	揅 揅󠄁 揅󠄂 揅󠄃
描	描 描󠄁 描󠄂
揑	揑 揑󠄁 揑󠄂
揖	揖 揖󠄁 揖󠄂
揞	揞 揞󠄀 揞󠄁
揠	揠 揠󠄁 揠󠄂
揥	揥 揥󠄁 揥󠄂
揳	揳 揳󠄁 揳󠄂 揳󠄃
援	援 援󠄂 援󠄃
揵	揵 揵󠄁 揵󠄂
搆	搆 搆󠄂 搆󠄃
損	損 損󠄁 損󠄂
搏	搏 搏󠄂 搏󠄃
搒	搒 搒󠄁 搒󠄂
搜	搜 搜󠄂 搜󠄃
搢	搢 搢󠄁 搢󠄂
搤	搤 搤󠄁 搤󠄂
搥	搥 搥󠄁 搥󠄂
搦	搦 搦󠄁 搦󠄂
搨	搨 搨󠄂 搨󠄃 搨󠄄
搩	搩 搩󠄁 搩󠄂
搭	搭 搭󠄁 搭󠄂
搽	搽 搽󠄁 搽󠄂
摂	摂 摂󠄂 摂󠄃
摎	摎 摎󠄁 摎󠄂
摒	摒 摒󠄁 摒󠄂
摓	摓 摓󠄁 摓󠄂
摕	摕 摕󠄀 摕󠄁
摘	摘 摘󠄁 摘󠄂
摙	摙 摙󠄀 摙󠄁
摛	摛 摛󠄁 摛󠄂
摠	摠 摠󠄁 摠󠄂 摠󠄃
摡	摡 摡󠄁 摡󠄂
摦	摦 摦󠄀 摦󠄁
摩	摩 摩󠄂 摩󠄃
摭	摭 摭󠄁 摭󠄂
摳	摳 摳󠄁 摳󠄂
摷	摷 摷󠄀 摷󠄁
摸	摸 摸󠄁 摸󠄂
摹	摹 摹󠄁 摹󠄂
摺	摺 摺󠄂 摺󠄃
撐	撐 撐󠄁 撐󠄂 撐󠄃
撛	撛 撛󠄁 撛󠄂
撞	撞 撞󠄁 撞󠄂
撢	撢 撢󠄀 撢󠄁
撰	撰 撰󠄂 撰󠄃
撹	撹 撹󠄁 撹󠄂
撻	撻 撻󠄁 撻󠄂
撾	撾 撾󠄁 撾󠄂
擄	擄 擄󠄁 擄󠄂
操	操 操󠄁 操󠄂
擎	擎 擎󠄁 擎󠄂
擒	擒 擒󠄁 擒󠄂
據	據 據󠄁 據󠄂 據󠄃
擢	擢 擢󠄂 擢󠄃
擤	擤 擤󠄁 擤󠄂
擪	擪 擪󠄁 擪󠄂 擪󠄃
擭	擭 擭󠄁 擭󠄂
擯	擯 擯󠄁 擯󠄂
擲	擲 擲󠄂 擲󠄃 擲󠄄 擲󠄅
擴	擴 擴󠄁 擴󠄂
擶	擶 擶󠄂 擶󠄃
擿	擿 擿󠄁 擿󠄂 擿󠄃
攇	攇 攇󠄀 攇󠄁
攏	攏 攏󠄁 攏󠄂
攔	攔 攔󠄁 攔󠄂
攝	攝 攝󠄂 攝󠄃 攝󠄄 攝󠄅
攤	攤 攤󠄁 攤󠄂
攬	攬 攬󠄁 攬󠄂
支	支 支󠄁 支󠄂
攴	攴 攴󠄁 攴󠄂
攵	攵 攵󠄁 攵󠄃
攸	攸 攸󠄁 攸󠄂
政	政 政󠄁 政󠄂
敏	敏 敏󠄂 敏󠄃
敖	敖 敖󠄁 敖󠄂
敝	敝 敝󠄂 敝󠄃 敝󠄄
敞	敞 敞󠄂 敞󠄃
敢	敢 敢󠄂 敢󠄃
敦	敦 敦󠄁 敦󠄂
敬	敬 敬󠄁 敬󠄂
敲	敲 敲󠄁 敲󠄂
敵	敵 敵󠄁 敵󠄂
敷	敷 敷󠄂 敷󠄃
數	數 數󠄁 數󠄂 數󠄄
敺	敺 敺󠄁 敺󠄂
斁	斁 斁󠄁 斁󠄂
斃	斃 斃󠄂 斃󠄃 斃󠄄
文	文 文󠄂 文󠄃
斈	斈 斈󠄁 斈󠄂
斉	斉 斉󠄂 斉󠄃
斎	斎 斎󠄂 斎󠄃
斐	斐 斐󠄂 斐󠄃 斐󠄄
斜	斜 斜󠄂 斜󠄃
斟	斟 斟󠄁 斟󠄂
斥	斥 斥󠄁 斥󠄂
斧	斧 斧󠄂 斧󠄃
斲	斲 斲󠄁 斲󠄂
斴	斴 斴󠄁 斴󠄂
斵	斵 斵󠄁 斵󠄂
斷	斷 斷󠄁 斷󠄂
旁	旁 旁󠄁 旁󠄂
旅	旅 旅󠄂 旅󠄃
旉	旉 旉󠄁 旉󠄂
旘	旘 旘󠄁 旘󠄂
旝	旝 旝󠄀 旝󠄁
旞	旞 旞󠄀 旞󠄁 旞󠄂
旡	旡 旡󠄂 旡󠄃 旡󠄅
既	既 既󠄂 既󠄃 既󠄄 既󠄅
旣	旣 旣󠄁 旣󠄂
日	日 日󠄁 日󠄂
旳	旳 旳󠄀 旳󠄁
旻	旻 旻󠄁 旻󠄂
昀	昀 昀󠄁 昀󠄂
昂	昂 昂󠄁 昂󠄂
昇	昇 昇󠄁 昇󠄂
昈	昈 昈󠄁 昈󠄂 昈󠄃
昋	昋 昋󠄀 昋󠄁
明	明 明󠄂 明󠄃
昏	昏 昏󠄁 昏󠄂
昞	昞 昞󠄂 昞󠄃 昞󠄄
昤	昤 昤󠄁 昤󠄂
昬	昬 昬󠄁 昬󠄂
昶	昶 昶󠄁 昶󠄂
昼	昼 昼󠄁 昼󠄂
晇	晇 晇󠄀 晇󠄁
晈	晈 晈󠄁 晈󠄂 晈󠄃
晙	晙 晙󠄁 晙󠄂
晟	晟 晟󠄄 晟󠄅
晦	晦 晦󠄂 晦󠄃
晧	晧 晧󠄂 晧󠄃
晫	晫 晫󠄁 晫󠄂
晴	晴 晴󠄂 晴󠄃
晶	晶 晶󠄁 晶󠄂
晷	晷 晷󠄂 晷󠄃 晷󠄄
暀	暀 暀󠄁 暀󠄂
暁	暁 暁󠄂 暁󠄃
暎	暎 暎󠄁 暎󠄂 暎󠄃
暐	暐 暐󠄁 暐󠄂
暑	暑 暑󠄂 暑󠄃
暖	暖 暖󠄂 暖󠄃
暗	暗 暗󠄂 暗󠄃
暜	暜 暜󠄁 暜󠄂
暠	暠 暠󠄁 暠󠄂
暮	暮 暮󠄁 暮󠄂
暱	暱 暱󠄁 暱󠄂 暱󠄃
暳	暳 暳󠄁 暳󠄄
暹	暹 暹󠄁 暹󠄂
暼	暼 暼󠄁 暼󠄂
曁	曁 曁󠄃 曁󠄄 曁󠄅 曁󠄆
曃	曃 曃󠄁 曃󠄂
曄	曄 曄󠄁 曄󠄂
曅	曅 曅󠄀 曅󠄁
曈	曈 曈󠄁 曈󠄂
曉	曉 曉󠄁 曉󠄂
曏	曏 曏󠄁 曏󠄂
曖	曖 曖󠄁 曖󠄂
曙	曙 曙󠄂 曙󠄃
曚	曚 曚󠄁 曚󠄂 曚󠄃
曜	曜 曜󠄂 曜󠄃
曠	曠 曠󠄁 曠󠄂
曨	曨 曨󠄁 曨󠄂
更	更 更󠄂 更󠄃
曵	曵 曵󠄂 曵󠄃 曵󠄄
曷	曷 曷󠄁 曷󠄂
書	書 書󠄂 書󠄃
曻	曻 曻󠄂 曻󠄃 曻󠄄
曼	曼 曼󠄂 曼󠄃
曾	曾 曾󠄁 曾󠄂 曾󠄃
替	替 替󠄁 替󠄂
最	最 最󠄂 最󠄃
朁	朁 朁󠄁 朁󠄂 朁󠄃
會	會 會󠄁 會󠄂 會󠄃
月	月 月󠄂 月󠄃
有	有 有󠄂 有󠄃
朋	朋 朋󠄂 朋󠄃
服	服 服󠄂 服󠄃
朎	朎 朎󠄁 朎󠄂
朓	朓 朓󠄁 朓󠄂
朔	朔 朔󠄁 朔󠄂 朔󠄃
朕	朕 朕󠄃 朕󠄄
朗	朗 朗󠄄 朗󠄅 朗󠄆
朙	朙 朙󠄁 朙󠄂
朚	朚 朚󠄀 朚󠄁
望	望 望󠄃 望󠄄 望󠄅 望󠄆 望󠄇 望󠄊
朝	朝 朝󠄂 朝󠄃 朝󠄄
朞	朞 朞󠄁 朞󠄂 朞󠄃
期	期 期󠄂 期󠄃
朠	朠 朠󠄁 朠󠄂
朡	朡 朡󠄀 朡󠄁
朢	朢 朢󠄁 朢󠄂
朣	朣 朣󠄀 朣󠄁
朦	朦 朦󠄁 朦󠄂 朦󠄃
朧	朧 朧󠄁 朧󠄂
杈	杈 杈󠄁 杈󠄂
杓	杓 杓󠄂 杓󠄃
杖	杖 杖󠄃 杖󠄅 杖󠄆
杗	杗 杗󠄀 杗󠄁
杜	杜 杜󠄁 杜󠄂
杞	杞 杞󠄂 杞󠄃
松	松 松󠄂 松󠄃
极	极 极󠄁 极󠄂
枅	枅 枅󠄁 枅󠄂 枅󠄃
枌	枌 枌󠄁 枌󠄂
枒	枒 枒󠄁 枒󠄂
枔	枔 枔󠄀 枔󠄁
枕	枕 枕󠄁 枕󠄂
枦	枦 枦󠄂 枦󠄃
枩	枩 枩󠄂 枩󠄃 枩󠄄
枹	枹 枹󠄁 枹󠄂
柄	柄 柄󠄂 柄󠄃
柊	柊 柊󠄂 柊󠄃
柔	柔 柔󠄂 柔󠄃
柗	柗 柗󠄁 柗󠄂
柜	柜 柜󠄁 柜󠄂
柧	柧 柧󠄂 柧󠄃
柱	柱 柱󠄂 柱󠄃
柳	柳 柳󠄁 柳󠄂
柺	柺 柺󠄁 柺󠄂
査	査 査󠄁 査󠄂
栁	栁 栁󠄂 栁󠄃
栃	栃 栃󠄁 栃󠄂
栓	栓 栓󠄂 栓󠄃
栔	栔 栔󠄁 栔󠄂
栖	栖 栖󠄁 栖󠄂
栝	栝 栝󠄁 栝󠄂
栟	栟 栟󠄂 栟󠄃
校	校 校󠄂 校󠄃
栥	栥 栥󠄀 栥󠄁
栩	栩 栩󠄁 栩󠄂
栲	栲 栲󠄁 栲󠄂
栴	栴 栴󠄁 栴󠄂
核	核 核󠄁 核󠄂
桀	桀 桀󠄁 桀󠄂 桀󠄃 桀󠄄
桅	桅 桅󠄁 桅󠄂
桒	桒 桒󠄂 桒󠄃 桒󠄄 桒󠄅
桝	桝 桝󠄃 桝󠄄 桝󠄅
桴	桴 桴󠄁 桴󠄂
桵	桵 桵󠄁 桵󠄂
梃	梃 梃󠄁 梃󠄂
梅	梅 梅󠄂 梅󠄃
梆	梆 梆󠄁 梆󠄂
梏	梏 梏󠄁 梏󠄂
梗	梗 梗󠄂 梗󠄃
梛	梛 梛󠄂 梛󠄃
條	條 條󠄂 條󠄃
梟	梟 梟󠄁 梟󠄂
梢	梢 梢󠄂 梢󠄃
梥	梥 梥󠄁 梥󠄂
梭	梭 梭󠄁 梭󠄂
梵	梵 梵󠄁 梵󠄂
棄	棄 棄󠄁 棄󠄂
棈	棈 棈󠄂 棈󠄃
棏	棏 棏󠄁 棏󠄂
棚	棚 棚󠄂 棚󠄃
棻	棻 棻󠄁 棻󠄂
椇	椇 椇󠄁 椇󠄂
椌	椌 椌󠄁 椌󠄂
植	植 植󠄃 植󠄄
椑	椑 椑󠄁 椑󠄂
椔	椔 椔󠄀 椔󠄁
椛	椛 椛󠄁 椛󠄂 椛󠄃
椦	椦 椦󠄁 椦󠄂
椰	椰 椰󠄂 椰󠄃
椹	椹 椹󠄁 椹󠄂
椽	椽 椽󠄂 椽󠄃 椽󠄄
楆	楆 楆󠄁 楆󠄂
楉	楉 楉󠄁 楉󠄂
楔	楔 楔󠄁 楔󠄂 楔󠄃 楔󠄄
楖	楖 楖󠄀 楖󠄁
楗	楗 楗󠄁 楗󠄂
楛	楛 楛󠄁 楛󠄂
楞	楞 楞󠄂 楞󠄃
楢	楢 楢󠄂 楢󠄃 楢󠄅
楫	楫 楫󠄂 楫󠄃
楮	楮 楮󠄁 楮󠄂
楯	楯 楯󠄄 楯󠄅
概	概 概󠄄 概󠄅
榊	榊 榊󠄂 榊󠄃
榑	榑 榑󠄁 榑󠄂
榒	榒 榒󠄁 榒󠄂
榔	榔 榔󠄂 榔󠄃
榘	榘 榘󠄁 榘󠄂
榜	榜 榜󠄁 榜󠄂
榣	榣 榣󠄀 榣󠄁
榧	榧 榧󠄂 榧󠄃
榺	榺 榺󠄁 榺󠄂 榺󠄄
榻	榻 榻󠄂 榻󠄃 榻󠄄
槁	槁 槁󠄂 槁󠄃
槇	槇 槇󠄁 槇󠄂 槇󠄃
構	構 構󠄂 構󠄃
槌	槌 槌󠄂 槌󠄃
槏	槏 槏󠄁 槏󠄂 槏󠄃
槢	槢 槢󠄁 槢󠄂 槢󠄃
槤	槤 槤󠄀 槤󠄁
槩	槩 槩󠄁 槩󠄂 槩󠄃
槪	槪 槪󠄂 槪󠄃 槪󠄄
槫	槫 槫󠄁 槫󠄂
槱	槱 槱󠄁 槱󠄂
槾	槾 槾󠄂 槾󠄃
槿	槿 槿󠄁 槿󠄂 槿󠄃
樋	樋 樋󠄂 樋󠄃
樓	樓 樓󠄁 樓󠄂
樔	樔 樔󠄁 樔󠄂
樛	樛 樛󠄁 樛󠄂
樞	樞 樞󠄁 樞󠄂
樟	樟 樟󠄁 樟󠄂
模	模 模󠄁 模󠄂
樣	樣 樣󠄁 樣󠄂
横	横 横󠄁 横󠄂
樮	樮 樮󠄁 樮󠄂
樴	樴 樴󠄁 樴󠄂
樶	樶 樶󠄁 樶󠄂
樹	樹 樹󠄁 樹󠄂
樺	樺 樺󠄁 樺󠄂
樽	樽 樽󠄂 樽󠄃
橄	橄 橄󠄂 橄󠄃
橉	橉 橉󠄁 橉󠄂
橙	橙 橙󠄁 橙󠄂
橝	橝 橝󠄀 橝󠄁
機	機 機󠄂 機󠄃
橡	橡 橡󠄁 橡󠄂
橦	橦 橦󠄁 橦󠄂
橧	橧 橧󠄁 橧󠄂
橳	橳 橳󠄂 橳󠄃 橳󠄄
檀	檀 檀󠄁 檀󠄂
檉	檉 檉󠄁 檉󠄂
檍	檍 檍󠄁 檍󠄂
檎	檎 檎󠄂 檎󠄃
檐	檐 檐󠄂 檐󠄃
檖	檖 檖󠄀 檖󠄁
檛	檛 檛󠄁 檛󠄂
檜	檜 檜󠄂 檜󠄃 檜󠄄 檜󠄅
檠	檠 檠󠄁 檠󠄂
檨	檨 檨󠄀 檨󠄁
檬	檬 檬󠄁 檬󠄂 檬󠄃 檬󠄄
檳	檳 檳󠄁 檳󠄂 檳󠄃
檴	檴 檴󠄁 檴󠄂
檸	檸 檸󠄁 檸󠄂
櫂	櫂 櫂󠄁 櫂󠄂
櫎	櫎 櫎󠄀 櫎󠄁
櫔	櫔 櫔󠄁 櫔󠄂 櫔󠄃
櫛	櫛 櫛󠄃 櫛󠄄 櫛󠄅 櫛󠄆
櫜	櫜 櫜󠄁 櫜󠄂
櫝	櫝 櫝󠄁 櫝󠄂
櫞	櫞 櫞󠄁 櫞󠄂 櫞󠄃 櫞󠄄
櫤	櫤 櫤󠄁 櫤󠄂
櫳	櫳 櫳󠄁 櫳󠄂
欂	欂 欂󠄁 欂󠄂
欄	欄 欄󠄂 欄󠄃
欇	欇 欇󠄁 欇󠄂
權	權 權󠄁 權󠄂 權󠄃
欗	欗 欗󠄁 欗󠄂
欝	欝 欝󠄂 欝󠄃
欟	欟 欟󠄁 欟󠄂
次	次 次󠄃 次󠄄
欤	欤 欤󠄂 欤󠄃
欬	欬 欬󠄁 欬󠄂
欮	欮 欮󠄀 欮󠄁
欿	欿 欿󠄁 欿󠄂
歆	歆 歆󠄁 歆󠄂
歇	歇 歇󠄁 歇󠄂
歉	歉 歉󠄁 歉󠄂
歎	歎 歎󠄂 歎󠄃 歎󠄄
歐	歐 歐󠄁 歐󠄂
歔	歔 歔󠄁 歔󠄂
歕	歕 歕󠄀 歕󠄁
歙	歙 歙󠄁 歙󠄂
歡	歡 歡󠄁 歡󠄂
止	止 止󠄁 止󠄂
歯	歯 歯󠄁 歯󠄂
歰	歰 歰󠄁 歰󠄂 歰󠄃
歲	歲 歲󠄁 歲󠄂 歲󠄃 歲󠄄 歲󠄅
歳	歳 歳󠄁 歳󠄃
歸	歸 歸󠄁 歸󠄂
殍	殍 殍󠄁 殍󠄂
殟	殟 殟󠄁 殟󠄂
殩	殩 殩󠄁 殩󠄂
殯	殯 殯󠄁 殯󠄂 殯󠄃
殰	殰 殰󠄁 殰󠄂
殳	殳 殳󠄁 殳󠄂
殸	殸 殸󠄁 殸󠄂
殺	殺 殺󠄂 殺󠄃
殻	殻 殻󠄂 殻󠄃
殼	殼 殼󠄁 殼󠄂
毅	毅 毅󠄁 毅󠄂
毆	毆 毆󠄁 毆󠄂
毒	毒 毒󠄁 毒󠄂
毓	毓 毓󠄁 毓󠄂
毺	毺 毺󠄀 毺󠄁
氃	氃 氃󠄀 氃󠄁
氈	氈 氈󠄃 氈󠄄 氈󠄆
氎	氎 氎󠄁 氎󠄂
氐	氐 氐󠄁 氐󠄂
氓	氓 氓󠄂 氓󠄃 氓󠄄
气	气 气󠄁 气󠄂
氛	氛 氛󠄁 氛󠄂
求	求 求󠄁 求󠄂 求󠄃
汍	汍 汍󠄁 汍󠄂
汎	汎 汎󠄁 汎󠄂
汒	汒 汒󠄁 汒󠄂
汛	汛 汛󠄁 汛󠄂
汧	汧 汧󠄁 汧󠄂
汭	汭 汭󠄁 汭󠄂 汭󠄃
汲	汲 汲󠄂 汲󠄃
汴	汴 汴󠄁 汴󠄂
汶	汶 汶󠄁 汶󠄂
汾	汾 汾󠄁 汾󠄂
沈	沈 沈󠄁 沈󠄂
沗	沗 沗󠄁 沗󠄂 沗󠄃
沠	沠 沠󠄀 沠󠄁
没	没 没󠄁 没󠄂
沪	沪 沪󠄃 沪󠄄
沷	沷 沷󠄀 沷󠄁
沿	沿 沿󠄃 沿󠄄 沿󠄅
泒	泒 泒󠄁 泒󠄂 泒󠄃
泙	泙 泙󠄁 泙󠄂
泡	泡 泡󠄂 泡󠄃
泧	泧 泧󠄁 泧󠄂
注	注 注󠄃 注󠄄
泰	泰 泰󠄁 泰󠄂 泰󠄃
泻	泻 泻󠄁 泻󠄂
津	津 津󠄁 津󠄂
洩	洩 洩󠄁 洩󠄂
洯	洯 洯󠄁 洯󠄂
洴	洴 洴󠄁 洴󠄂
派	派 派󠄃 派󠄄
流	流 流󠄁 流󠄂
浩	浩 浩󠄂 浩󠄃
浮	浮 浮󠄂 浮󠄃
海	海 海󠄂 海󠄃
浸	浸 浸󠄂 浸󠄃
消	消 消󠄂 消󠄃
涎	涎 涎󠄁 涎󠄂
涬	涬 涬󠄁 涬󠄂
涵	涵 涵󠄁 涵󠄂
涿	涿 涿󠄁 涿󠄂 涿󠄃
淃	淃 淃󠄀 淃󠄁 淃󠄂
淊	淊 淊󠄁 淊󠄂
淌	淌 淌󠄁 淌󠄂
淏	淏 淏󠄁 淏󠄂
淞	淞 淞󠄁 淞󠄂
淨	淨 淨󠄁 淨󠄂
淫	淫 淫󠄂 淫󠄃
淵	淵 淵󠄁 淵󠄂 淵󠄃 淵󠄄
添	添 添󠄂 添󠄃
渚	渚 渚󠄂 渚󠄃
渝	渝 渝󠄁 渝󠄂
渠	渠 渠󠄁 渠󠄂
渣	渣 渣󠄃 渣󠄄
渧	渧 渧󠄁 渧󠄂
渮	渮 渮󠄁 渮󠄂
港	港 港󠄂 港󠄃 港󠄄
渳	渳 渳󠄀 渳󠄁
渶	渶 渶󠄁 渶󠄂
湎	湎 湎󠄁 湎󠄂
湒	湒 湒󠄁 湒󠄂
湛	湛 湛󠄁 湛󠄂 湛󠄃 湛󠄄
湧	湧 湧󠄁 湧󠄂
湮	湮 湮󠄂 湮󠄃 湮󠄄
湲	湲 湲󠄂 湲󠄃
湴	湴 湴󠄀 湴󠄁
湼	湼 湼󠄀 湼󠄁
湾	湾 湾󠄂 湾󠄃
満	満 満󠄁 満󠄂
溏	溏 溏󠄁 溏󠄂
源	源 源󠄁 源󠄂
溓	溓 溓󠄁 溓󠄂
溝	溝 溝󠄂 溝󠄃
溢	溢 溢󠄃 溢󠄄 溢󠄅
溥	溥 溥󠄁 溥󠄂
溪	溪 溪󠄁 溪󠄂
溲	溲 溲󠄁 溲󠄂 溲󠄃 溲󠄄
溺	溺 溺󠄂 溺󠄃
溿	溿 溿󠄁 溿󠄂
滂	滂 滂󠄁 滂󠄂
滇	滇 滇󠄁 滇󠄂
滋	滋 滋󠄃 滋󠄄 滋󠄅 滋󠄆
滔	滔 滔󠄁 滔󠄂
滕	滕 滕󠄂 滕󠄃 滕󠄄
滛	滛 滛󠄂 滛󠄃
滬	滬 滬󠄂 滬󠄃
滰	滰 滰󠄀 滰󠄁
滴	滴 滴󠄁 滴󠄂
滾	滾 滾󠄂 滾󠄃
滿	滿 滿󠄁 滿󠄂 滿󠄃 滿󠄄
漁	漁 漁󠄁 漁󠄂
漑	漑 漑󠄃 漑󠄄 漑󠄅 漑󠄆 漑󠄇 漑󠄈 漑󠄉
漓	漓 漓󠄁 漓󠄂
漚	漚 漚󠄁 漚󠄂
漠	漠 漠󠄁 漠󠄂
漢	漢 漢󠄂 漢󠄃 漢󠄇
漣	漣 漣󠄂 漣󠄃
漨	漨 漨󠄀 漨󠄁
漫	漫 漫󠄁 漫󠄂
漭	漭 漭󠄁 漭󠄂
漳	漳 漳󠄁 漳󠄂
漻	漻 漻󠄁 漻󠄂 漻󠄃
漾	漾 漾󠄂 漾󠄃
潔	潔 潔󠄂 潔󠄃 潔󠄄 潔󠄅
潛	潛 潛󠄃 潛󠄄 潛󠄅 潛󠄆 潛󠄇
潤	潤 潤󠄂 潤󠄃
潭	潭 潭󠄁 潭󠄂 潭󠄃
潮	潮 潮󠄂 潮󠄃
潯	潯 潯󠄁 潯󠄂
潴	潴 潴󠄂 潴󠄃
潸	潸 潸󠄁 潸󠄂
潼	潼 潼󠄁 潼󠄂
潾	潾 潾󠄁 潾󠄂 潾󠄃
潿	潿 潿󠄀 潿󠄁
澀	澀 澀󠄁 澀󠄂 澀󠄃
澂	澂 澂󠄁 澂󠄂 澂󠄃
澘	澘 澘󠄂 澘󠄃
澚	澚 澚󠄁 澚󠄂 澚󠄃
澠	澠 澠󠄁 澠󠄂
澤	澤 澤󠄁 澤󠄂 澤󠄃
澫	澫 澫󠄀 澫󠄁 澫󠄂 澫󠄃
澯	澯 澯󠄁 澯󠄂
澳	澳 澳󠄁 澳󠄂
澷	澷 澷󠄁 澷󠄂
澾	澾 澾󠄁 澾󠄂
濂	濂 濂󠄁 濂󠄂
濄	濄 濄󠄀 濄󠄁
濆	濆 濆󠄁 濆󠄂
濈	濈 濈󠄁 濈󠄂
濘	濘 濘󠄁 濘󠄂
濛	濛 濛󠄁 濛󠄂 濛󠄃
濠	濠 濠󠄁 濠󠄂
濨	濨 濨󠄁 濨󠄂
濩	濩 濩󠄁 濩󠄂
濯	濯 濯󠄂 濯󠄃 濯󠄄
濱	濱 濱󠄁 濱󠄂 濱󠄃
濵	濵 濵󠄁 濵󠄂
濹	濹 濹󠄂 濹󠄃
瀁	瀁 瀁󠄁 瀁󠄂
瀇	瀇 瀇󠄁 瀇󠄂
瀎	瀎 瀎󠄀 瀎󠄁
瀐	瀐 瀐󠄀 瀐󠄁
瀓	瀓 瀓󠄀 瀓󠄁
瀕	瀕 瀕󠄂 瀕󠄃
瀚	瀚 瀚󠄁 瀚󠄂
瀛	瀛 瀛󠄂 瀛󠄃 瀛󠄄 瀛󠄅 瀛󠄆
瀞	瀞 瀞󠄂 瀞󠄃 瀞󠄄 瀞󠄅 瀞󠄆
瀟	瀟 瀟󠄁 瀟󠄂
瀡	瀡 瀡󠄀 瀡󠄁
瀢	瀢 瀢󠄀 瀢󠄁
瀦	瀦 瀦󠄂 瀦󠄃
瀧	瀧 瀧󠄂 瀧󠄃 瀧󠄄 瀧󠄅 瀧󠄆 瀧󠄇
瀷	瀷 瀷󠄁 瀷󠄂
瀾	瀾 瀾󠄁 瀾󠄂
灁	灁 灁󠄀 灁󠄁
灄	灄 灄󠄁 灄󠄂
灇	灇 灇󠄁 灇󠄂
灊	灊 灊󠄂 灊󠄃
灌	灌 灌󠄁 灌󠄂
灕	灕 灕󠄁 灕󠄂
灘	灘 灘󠄂 灘󠄃
灨	灨 灨󠄀 灨󠄁
灮	灮 灮󠄁 灮󠄂 灮󠄃
灰	灰 灰󠄂 灰󠄃
灷	灷 灷󠄀 灷󠄁
灸	灸 灸󠄂 灸󠄃
灼	灼 灼󠄂 灼󠄃
災	災 災󠄁 災󠄂
炁	炁 炁󠄁 炁󠄂
炉	炉 炉󠄁 炉󠄂
炬	炬 炬󠄁 炬󠄂
炭	炭 炭󠄂 炭󠄃
炮	炮 炮󠄁 炮󠄂
炳	炳 炳󠄁 炳󠄂
炷	炷 炷󠄁 炷󠄂
烤	烤 烤󠄁 烤󠄂
焈	焈 焈󠄁 焈󠄂
焏	焏 焏󠄁 焏󠄂
焫	焫 焫󠄁 焫󠄂
然	然 然󠄁 然󠄂
煁	煁 煁󠄁 煁󠄂
煉	煉 煉󠄂 煉󠄃
煎	煎 煎󠄂 煎󠄃
煒	煒 煒󠄂 煒󠄃 煒󠄄
煖	煖 煖󠄁 煖󠄂
煙	煙 煙󠄂 煙󠄃
煢	煢 煢󠄂 煢󠄃 煢󠄄
煮	煮 煮󠄂 煮󠄃
煺	煺 煺󠄀 煺󠄁
煽	煽 煽󠄃 煽󠄄 煽󠄅
熈	熈 熈󠄁 熈󠄂
熔	熔 熔󠄂 熔󠄃
熖	熖 熖󠄁 熖󠄂
熢	熢 熢󠄁 熢󠄂
熥	熥 熥󠄀 熥󠄁
熳	熳 熳󠄂 熳󠄃
熾	熾 熾󠄁 熾󠄂
熿	熿 熿󠄁 熿󠄂
燁	燁 燁󠄁 燁󠄂 燁󠄃 燁󠄄
燂	燂 燂󠄀 燂󠄁
燌	燌 燌󠄁 燌󠄂
燐	燐 燐󠄂 燐󠄃 燐󠄄
燓	燓 燓󠄁 燓󠄂
燕	燕 燕󠄁 燕󠄂
燠	燠 燠󠄁 燠󠄂
燧	燧 燧󠄁 燧󠄂 燧󠄃 燧󠄄
燮	燮 燮󠄁 燮󠄃
燵	燵 燵󠄁 燵󠄂
燻	燻 燻󠄁 燻󠄂
燿	燿 燿󠄂 燿󠄃
爇	爇 爇󠄁 爇󠄂
爉	爉 爉󠄁 爉󠄂
爗	爗 爗󠄁 爗󠄂
爛	爛 爛󠄁 爛󠄂
爟	爟 爟󠄁 爟󠄂
爤	爤 爤󠄁 爤󠄂
爨	爨 爨󠄂 爨󠄃 爨󠄄 爨󠄅
爫	爫 爫󠄂 爫󠄃
爯	爯 爯󠄁 爯󠄂
爰	爰 爰󠄁 爰󠄂
爲	爲 爲󠄁 爲󠄂
